Title,Duration,Rating,Voting,Genre
 Teddy and the Mountain,2h 28m,7.3,23000,Romance
 Goyo,1h 28m,6.6,2200,Romance
 Bau: Artist at War,1h 42m,7.0,55000,Romance
 Tillu Square,2h 6m,6.6,3400,Romance
 I Can Never Be Yours,1h 53m,8.6,138000,Romance
 Siddharth Roy,1h 45m,6.4,2900,Romance
 The Holiday Junkie,1h 35m,6.3,445000,Romance
 She Taught Love,1h 30m,5.2,413000,Romance
 Ask Mevsimi,1h 45m,5.0,339000,Romance
 Kupu-Kupu Kertas,2h 5m,6.8,160000,Romance
 Mascarpone: The Rainbow Cake,1h 56m,6.1,496000,Romance
 One Night in Tokyo,1h 38m,7.5,69000,Romance
 Believe in Christmas,1h 27m,6.1,822000,Romance
 Switch Up,2h 30m,8.6,27000,Romance
 Love Story,2h 12m,4.9,390000,Romance
 Blue Sun Palace,2h 10m,6.5,129000,Romance
 When in Rome,1h 10m,6.1,738000,Romance
 Christmas in the Spotlight,2h 15m,5.8,664000,Romance
 Auron Mein Kahan Dum Tha,1h 25m,6.6,41000,Romance
 Phir Aayi Hasseen Dillruba,1h 32m,5.8,6800,Romance
 Viva La Vida,1h 37m,7.5,809000,Romance
 Snatched a Billionaire to Be My Husband,1h 42m,7.6,655000,Romance
 Albany Road,1h 29m,7.7,108000,Romance
 Marry Christmas,1h 27m,6.7,60000,Romance
 Umjolo: The Gone Girl,1h 30m,4.4,270000,Romance
 First Taste,1h 35m,6.0,283000,Romance
 Sex Love Venice,1h 40m,5.0,321000,Romance
 Karma's a Bitch,1h 28m,4.7,33000,Romance
 Stag,1h 57m,5.2,110000,Romance
 The Everything Pot,1h 54m,7.3,32000,Romance
 My Ex's Wedding,1h 54m,8.6,46000,Romance
 Else,1h 51m,6.1,230000,Romance
 A Merry Royal Christmas,1h 43m,5.2,144000,Romance
